Mother's Race,2019,2023
White,31671,30700
Black or African American,4347,3913
American Indian or Alaska Native,4903,4398
Asian,1240,1337
Native Hawaiian or Other Pacific Islander,216,231
Other,2744,2369
Unknown,170,535
More than one race,3852,4412
