"Search Characteristic","Values Selected"
"Counties","Entire State (All Counties)"
"Years",2019

"Total",""
"N","Births"
8,49143

Year 2019
"","Births"
"Mother's Race"
"White",31671
"Black or African American",4347
"American Indian or Alaska Native",4903
"Asian",1240
"Native Hawaiian or Other Pacific Islander",216
"Other",2744
"Unknown",170
"More than one race",3852

