GEOID,NAME,B13015_002E,B13015_002M
01,Alabama,58542,3947
02,Alaska,10502,1756
04,Arizona,89019,7035
05,Arkansas,35370,3821
06,California,450971,10955
08,Colorado,64252,4766
09,Connecticut,30781,2977
10,Delaware,8580,1544
11,District of Columbia,8375,1647
12,Florida,205856,9243
13,Georgia,134809,7904
15,Hawaii,18431,2038
16,Idaho,27171,2765
17,Illinois,147037,6353
18,Indiana,81658,4639
19,Iowa,37815,2765
20,Kansas,41058,2884
21,Kentucky,47407,3456
22,Louisiana,57992,5191
23,Maine,14130,2052
24,Maryland,73824,4997
25,Massachusetts,69139,4227
26,Michigan,115459,5084
27,Minnesota,71159,3512
28,Mississippi,35965,3611
29,Missouri,76428,4619
30,Montana,12267,1911
31,Nebraska,26897,2424
32,Nevada,37443,3762
33,New Hampshire,11966,1822
34,New Jersey,95678,5234
35,New Mexico,26945,2716
36,New York,217713,8616
37,North Carolina,129358,7231
38,North Dakota,13098,2047
39,Ohio,150899,6101
40,Oklahoma,55049,3883
41,Oregon,42254,4195
42,Pennsylvania,148956,6375
72,Puerto Rico,20986,2687
44,Rhode Island,7968,1775
45,South Carolina,63576,5008
46,South Dakota,12568,1760
47,Tennessee,78042,4501
48,Texas,390925,12308
49,Utah,45033,3372
50,Vermont,6553,1175
51,Virginia,98004,5464
53,Washington,98105,6661
54,West Virginia,21275,2262
55,Wisconsin,68675,4375
56,Wyoming,6905,1512
